algorithms,means,stds
ARMOEA,5.36408721111111,0.00832772568274443
BiGE,2.1537532,0.043703366325913
EFRRR,1.54165921111111,0.484097261614363
MOEAIGDNS,6.47987680555556,0.0991257112667686
MaOEADDFC,1.04132372777778,0.0183922381051638
NSGAIII,4.03378518888889,0.333102635778991
NSGAII,5.51216623888889,0.0391725938606824
SPEA2SDE,4.95336595,0.0270875754515232
SPEAR,6.1435138,0.245323083472807
gamultiobj,3.31716991111111,0.605819552787997
tDEA,2.12744858888889,0.453200063160301
